,team1,team2,Ground,date,Series,toss_winner,first_batting,match_winner,team1_player1_bat_rank,team1_player1_bowl_rank,team1_player2_bat_rank,team1_player2_bowl_rank,team1_player3_bat_rank,team1_player3_bowl_rank,team1_player4_bat_rank,team1_player4_bowl_rank,team1_player5_bat_rank,team1_player5_bowl_rank,team1_player6_bat_rank,team1_player6_bowl_rank,team1_player7_bat_rank,team1_player7_bowl_rank,team1_player8_bat_rank,team1_player8_bowl_rank,team1_player9_bat_rank,team1_player9_bowl_rank,team1_player10_bat_rank,team1_player10_bowl_rank,team1_player11_bat_rank,team1_player11_bowl_rank,team2_player1_bat_rank,team2_player1_bowl_rank,team2_player2_bat_rank,team2_player2_bowl_rank,team2_player3_bat_rank,team2_player3_bowl_rank,team2_player4_bat_rank,team2_player4_bowl_rank,team2_player5_bat_rank,team2_player5_bowl_rank,team2_player6_bat_rank,team2_player6_bowl_rank,team2_player7_bat_rank,team2_player7_bowl_rank,team2_player8_bat_rank,team2_player8_bowl_rank,team2_player9_bat_rank,team2_player9_bowl_rank,team2_player10_bat_rank,team2_player10_bowl_rank,team2_player11_bat_rank,team2_player11_bowl_rank
0,Australia,Sri Lanka,Melbourne Cricket Ground, Jan 4 1990, Benson & Hedges World Series at Melbourne,1,1,1,101,101,7,101,1,97,12,49,11,30,101,101,77,101,68,20,101,38,101,27,101,8,32,101,61,93,101,101,13,51,27,42,29,86,79,37,101,101,66,13,101,54,101,28
1,Sri Lanka,Pakistan,"Brisbane Cricket Ground, Woolloongabba, Brisbane", Feb 10 1990, Benson & Hedges World Series at Brisbane,2,1,2,65,92,101,101,28,85,74,37,13,51,33,101,27,43,101,101,101,52,101,56,101,93,101,101,101,101,101,101,8,81,101,101,18,10,73,4,86,30,101,61,101,59,101,101
2,Australia,Pakistan,"Brisbane Cricket Ground, Woolloongabba, Brisbane", Feb 11 1990, Benson & Hedges World Series at Brisbane,2,1,1,88,101,69,99,1,97,12,49,11,33,101,101,73,101,68,20,101,37,101,26,101,9,10,81,101,101,81,101,101,101,101,101,18,11,101,101,76,4,101,56,90,29,101,101
3,Australia,Pakistan,Sydney Cricket Ground, Feb 13 1990, Benson & Hedges World Series at Sydney,2,1,2,81,101,72,100,1,98,11,33,101,101,12,49,75,101,67,19,84,20,101,26,101,8,70,101,41,69,101,101,9,81,18,10,101,101,69,1,101,101,101,59,101,101,101,94
4,West Indies,England,"Queen's Park Oval, Port of Spain, Trinidad", Feb 14 1990, England tour of West Indies at Port of Spain,2,1,2,8,101,2,101,14,101,31,51,92,101,3,35,101,101,47,5,34,101,95,15,83,4,5,53,61,101,36,101,4,101,86,101,58,47,101,101,101,101,99,13,101,46,101,60
5,Sri Lanka,Pakistan,"Bellerive Oval, Hobart", Feb 15 1990, Benson & Hedges World Series at Hobart,2,1,2,65,91,49,101,24,86,101,101,13,54,25,42,32,101,101,51,76,38,101,28,101,48,101,101,66,101,101,101,8,82,101,101,101,101,101,101,70,1,101,50,101,101,101,73
6,Pakistan,Sri Lanka,Adelaide Oval, Feb 17 1990, Benson & Hedges World Series at Adelaide,2,1,1,101,101,45,101,101,101,67,1,18,10,8,82,101,101,101,101,101,45,101,101,101,73,49,101,66,91,14,54,20,42,27,85,30,101,76,32,101,28,101,48,101,101,101,50
7,West Indies,England,"Queen's Park Oval, Port of Spain, Trinidad", Feb 17 1990, England tour of West Indies at Port of Spain,2,1,2,9,101,2,101,13,101,32,53,92,101,101,101,34,101,48,5,101,101,95,14,83,4,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
8,Sri Lanka,Australia,Adelaide Oval, Feb 18 1990, Benson & Hedges World Series at Adelaide,1,1,2,49,101,68,91,28,79,13,55,22,43,101,101,101,101,101,45,71,28,101,101,101,51,77,101,1,98,72,100,12,49,11,36,101,101,76,101,67,18,101,73,101,25,101,8
9,Pakistan,Australia,Sydney Cricket Ground, Feb 20 1990, Benson & Hedges World Series at Sydney,1,1,1,101,101,42,101,101,101,16,10,101,101,101,101,46,96,101,54,101,46,90,28,101,101,67,101,54,100,1,99,11,49,13,36,69,18,101,101,77,101,101,73,101,25,101,9
10,Australia,Sri Lanka,Melbourne Cricket Ground, Jan 4 1990, Benson & Hedges World Series at Melbourne,1,1,1,101,101,7,101,1,97,12,49,11,30,101,101,77,101,68,20,101,38,101,27,101,8,32,101,61,93,101,101,13,51,27,42,29,86,79,37,101,101,66,13,101,54,101,28
11,Sri Lanka,Pakistan,"Brisbane Cricket Ground, Woolloongabba, Brisbane", Feb 10 1990, Benson & Hedges World Series at Brisbane,2,1,2,65,92,101,101,28,85,74,37,13,51,33,101,27,43,101,101,101,52,101,56,101,93,101,101,101,101,101,101,8,81,101,101,18,10,73,4,86,30,101,61,101,59,101,101
12,Australia,Pakistan,"Brisbane Cricket Ground, Woolloongabba, Brisbane", Feb 11 1990, Benson & Hedges World Series at Brisbane,2,1,1,88,101,69,99,1,97,12,49,11,33,101,101,73,101,68,20,101,37,101,26,101,9,10,81,101,101,81,101,101,101,101,101,18,11,101,101,76,4,101,56,90,29,101,101
13,Australia,Pakistan,Sydney Cricket Ground, Feb 13 1990, Benson & Hedges World Series at Sydney,2,1,2,81,101,72,100,1,98,11,33,101,101,12,49,75,101,67,19,84,20,101,26,101,8,70,101,41,69,101,101,9,81,18,10,101,101,69,1,101,101,101,59,101,101,101,94
14,West Indies,England,"Queen's Park Oval, Port of Spain, Trinidad", Feb 14 1990, England tour of West Indies at Port of Spain,2,1,2,8,101,2,101,14,101,31,51,92,101,3,35,101,101,47,5,34,101,95,15,83,4,5,53,61,101,36,101,4,101,86,101,58,47,101,101,101,101,99,13,101,46,101,60
15,Sri Lanka,Pakistan,"Bellerive Oval, Hobart", Feb 15 1990, Benson & Hedges World Series at Hobart,2,1,2,65,91,49,101,24,86,101,101,13,54,25,42,32,101,101,51,76,38,101,28,101,48,101,101,66,101,101,101,8,82,101,101,101,101,101,101,70,1,101,50,101,101,101,73
16,Pakistan,Sri Lanka,Adelaide Oval, Feb 17 1990, Benson & Hedges World Series at Adelaide,2,1,1,101,101,45,101,101,101,67,1,18,10,8,82,101,101,101,101,101,45,101,101,101,73,49,101,66,91,14,54,20,42,27,85,30,101,76,32,101,28,101,48,101,101,101,50
17,West Indies,England,"Queen's Park Oval, Port of Spain, Trinidad", Feb 17 1990, England tour of West Indies at Port of Spain,2,1,2,9,101,2,101,13,101,32,53,92,101,101,101,34,101,48,5,101,101,95,14,83,4,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
18,Sri Lanka,Australia,Adelaide Oval, Feb 18 1990, Benson & Hedges World Series at Adelaide,1,1,2,49,101,68,91,28,79,13,55,22,43,101,101,101,101,101,45,71,28,101,101,101,51,77,101,1,98,72,100,12,49,11,36,101,101,76,101,67,18,101,73,101,25,101,8
19,Pakistan,Australia,Sydney Cricket Ground, Feb 20 1990, Benson & Hedges World Series at Sydney,1,1,1,101,101,42,101,101,101,16,10,101,101,101,101,46,96,101,54,101,46,90,28,101,101,67,101,54,100,1,99,11,49,13,36,69,18,101,101,77,101,101,73,101,25,101,9
20,Pakistan,Australia,Melbourne Cricket Ground, Feb 23 1990, Benson & Hedges World Series at Melbourne,2,1,2,44,101,101,101,101,101,10,87,17,10,101,101,48,1,101,101,90,30,101,41,101,74,67,101,60,100,1,99,14,36,11,50,101,101,77,101,69,18,101,72,101,21,101,8
21,Australia,Pakistan,Sydney Cricket Ground, Feb 25 1990, Benson & Hedges World Series at Sydney,1,1,1,45,101,53,99,1,98,11,49,78,101,101,101,74,101,69,17,101,66,101,19,101,7,46,101,101,101,47,1,101,101,10,84,18,11,101,101,101,101,101,52,101,39,101,73
22,New Zealand,India,"Carisbrook, Dunedin", Mar 1 1990, Rothmans Cup Triangular Series at Dunedin,2,1,1,29,101,12,65,7,101,44,101,37,80,53,101,101,101,101,101,67,10,101,41,101,101,89,100,101,101,28,101,26,74,101,101,59,56,101,101,82,23,74,101,101,91,101,101
23,Australia,India,"AMI Stadium, Christchurch", Mar 3 1990, Rothmans Cup Triangular Series at Christchurch,1,1,1,46,101,18,101,1,98,12,50,15,36,101,101,71,101,68,19,101,66,101,17,101,3,101,101,93,100,101,101,27,101,26,74,58,54,101,101,79,22,74,101,101,75,101,57
24,England,West Indies,"Sabina Park, Kingston, Jamaica", Mar 3 1990, England tour of West Indies at Kingston,1,1,2,5,56,56,101,34,101,3,101,84,101,57,48,101,101,54,7,98,13,101,39,101,58,2,101,95,101,11,101,31,49,4,31,67,101,33,101,101,101,91,11,49,5,83,6
25,Australia,New Zealand,"AMI Stadium, Christchurch", Mar 4 1990, Rothmans Cup Triangular Series at Christchurch,1,1,1,15,101,9,101,1,100,17,36,12,51,101,101,71,101,65,19,101,59,101,16,101,5,13,66,6,101,44,101,37,80,101,88,101,94,55,101,101,101,67,52,68,10,101,41
26,India,New Zealand,"Basin Reserve, Wellington", Mar 6 1990, Rothmans Cup Triangular Series at Wellington,1,1,1,99,101,74,20,93,101,28,101,25,77,101,101,101,101,76,101,58,52,101,72,101,56,13,66,40,101,6,101,43,101,33,83,101,101,55,101,101,75,101,74,69,10,101,36
27,England,West Indies,"Bourda, Georgetown, Guyana", Mar 7 1990, England tour of West Indies at Georgetown,2,1,2,5,58,52,101,37,101,3,101,86,101,61,49,97,101,54,8,95,14,101,37,101,57,2,101,56,101,11,101,30,48,4,31,65,101,34,101,101,40,101,96,91,10,84,4
28,India,Australia,"Seddon Park, Hamilton", Mar 8 1990, Rothmans Cup Triangular Series at Hamilton,1,1,2,80,101,76,20,85,101,23,77,101,101,101,101,101,101,59,54,77,101,101,75,101,49,7,101,45,101,18,39,15,101,12,52,101,101,72,101,67,16,101,32,101,59,101,4
29,Australia,New Zealand,"Eden Park, Auckland", Mar 10 1990, Rothmans Cup Triangular Series at Auckland,2,1,1,45,101,9,101,1,101,15,101,18,40,101,101,65,101,63,15,101,34,101,59,101,14,29,101,12,66,6,101,44,101,32,83,101,101,57,101,101,73,101,75,71,10,101,31
30,New Zealand,Australia,"Eden Park, Auckland", Mar 11 1990, Rothmans Cup Triangular Series at Auckland,1,1,2,29,101,6,101,44,101,33,83,40,101,101,73,101,101,57,101,70,54,72,11,101,33,9,101,15,101,1,101,12,53,18,41,101,101,65,101,63,17,101,52,101,12,101,2
31,England,West Indies,"Bourda, Georgetown, Guyana", Mar 15 1990, England tour of West Indies at Georgetown,2,1,2,5,59,55,101,40,101,3,101,89,101,77,101,63,50,88,101,98,15,101,34,101,57,6,101,99,101,11,101,30,42,52,101,65,101,101,101,101,36,101,83,94,9,82,1
32,England,West Indies,"Kensington Oval, Bridgetown, Barbados", Apr 3 1990, England tour of West Indies at Bridgetown,2,1,2,101,101,52,101,36,101,3,101,101,101,62,49,87,101,53,9,101,101,97,15,101,29,7,101,2,101,11,101,47,101,27,101,30,42,35,101,101,79,51,6,81,1,85,5
33,India,Sri Lanka,Sharjah Cricket Stadium, Apr 25 1990, Austral-Asia Cup at Sharjah,2,1,2,26,69,82,98,15,101,20,77,101,101,34,28,101,101,75,101,74,20,101,57,101,101,71,91,101,101,27,76,14,56,17,44,101,101,94,71,69,16,72,31,101,45,101,101
34,Australia,New Zealand,Sharjah Cricket Stadium, Apr 26 1990, Austral-Asia Cup at Sharjah,2,1,1,10,101,41,101,1,100,15,101,19,40,12,49,101,101,64,101,60,17,101,13,101,3,29,101,13,64,7,101,44,101,32,82,59,101,61,52,101,101,69,8,101,101,101,34
35,Pakistan,India,Sharjah Cricket Stadium, Apr 27 1990, Austral-Asia Cup at Sharjah,2,1,1,45,101,101,101,101,101,9,85,20,15,46,2,101,101,68,22,101,101,101,31,101,101,25,67,69,20,17,101,16,78,101,101,83,101,101,101,34,27,77,101,101,56,101,88
36,New Zealand,Bangladesh,Sharjah Cricket Stadium, Apr 28 1990, Austral-Asia Cup at Sharjah,1,1,1,12,65,29,101,6,101,43,101,31,81,101,72,58,101,61,50,69,7,101,92,101,34,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,80,101,101,101,101,101,101
37,Pakistan,Sri Lanka,Sharjah Cricket Stadium, Apr 29 1990, Austral-Asia Cup at Sharjah,2,1,1,44,101,101,101,8,84,101,101,101,101,20,15,101,101,101,54,101,22,101,74,101,101,68,92,101,101,28,77,15,56,48,101,18,45,69,31,93,72,73,17,101,47,101,101
38,Bangladesh,Australia,Sharjah Cricket Stadium, Apr 30 1990, Austral-Asia Cup at Sharjah,1,1,2,101,101,101,101,101,101,101,101,101,101,101,101,92,101,101,101,101,101,101,101,101,101,101,101,59,101,1,100,54,16,100,33,41,101,10,101,14,101,101,101,19,39,101,51
39,New Zealand,Pakistan,Sharjah Cricket Stadium, May 1 1990, Austral-Asia Cup at Sharjah,1,1,2,13,64,29,101,5,101,44,101,33,80,101,68,67,51,63,101,72,9,101,40,101,79,45,101,101,101,101,101,20,13,8,85,101,101,46,2,101,44,101,101,101,18,101,101
40,Australia,Sri Lanka,Sharjah Cricket Stadium, May 2 1990, Austral-Asia Cup at Sharjah,1,1,1,41,101,10,101,1,97,101,101,14,101,101,101,19,35,59,101,55,12,101,15,101,3,50,101,64,89,101,101,15,54,18,46,72,17,68,31,101,49,101,56,101,101,27,73
41,Pakistan,Australia,Sharjah Cricket Stadium, May 4 1990, Austral-Asia Cup at Sharjah,1,1,1,42,88,101,101,10,82,101,101,101,101,20,13,101,101,46,2,90,40,98,16,101,101,12,101,40,101,1,97,14,48,17,34,101,101,53,11,56,101,97,29,101,14,101,4
42,England,New Zealand,"Headingley, Leeds", May 23 1990, New Zealand tour of England at Leeds,2,1,2,6,51,26,101,29,101,3,101,71,101,59,34,78,101,54,10,101,73,92,12,101,28,30,101,4,101,12,61,38,101,36,77,101,101,101,101,61,101,101,93,101,38,101,79
43,New Zealand,England,"Kennington Oval, London", May 25 1990, New Zealand tour of England at London,2,1,2,31,101,4,101,14,61,26,101,38,78,101,101,101,85,57,101,101,70,101,39,101,84,3,53,27,101,30,101,6,101,71,101,67,101,101,73,54,11,92,13,101,28,101,101
44,England,India,"Headingley, Leeds", Jul 18 1990, India tour of England at Leeds,2,1,2,3,53,101,101,27,101,4,101,32,101,67,101,53,11,101,72,101,27,101,49,101,69,82,97,16,101,59,101,99,101,14,76,36,23,101,101,69,16,75,101,101,51,101,56
45,England,India,"Trent Bridge, Nottingham", Jul 20 1990, India tour of England at Nottingham,2,1,2,3,53,101,101,29,101,6,101,23,101,61,101,55,15,101,70,92,14,101,25,101,46,36,23,16,101,49,101,28,101,12,76,82,101,101,101,69,16,75,101,101,50,101,59
46,Pakistan,New Zealand,"Gaddafi Stadium, Lahore", Nov 2 1990, New Zealand tour of Pakistan at Lahore,2,1,1,35,88,45,65,101,101,53,55,101,101,11,82,101,101,101,67,90,40,97,13,101,101,101,101,15,60,39,79,24,101,91,64,49,101,101,89,101,72,101,31,98,24,101,101
